Proportion of macrophage subtypes between two conditions,,,,,,,,
,sample,condition,subtype,count,subtype_total,proportion,total_cells,failures
1,BRONCHO_58,tumor,TRAM,83,309,26.86084142,309,226
2,BRONCHO_58,tumor,TAM,85,309,27.50809061,309,224
3,BRONCHO_58,tumor,Profi_TAM,104,309,33.65695793,309,205
4,BRONCHO_58,tumor,Proli_TRM,29,309,9.385113269,309,280
5,BRONCHO_58,tumor,Unknown,8,309,2.588996764,309,301
6,EBUS_06,tumor,TRAM,4,161,2.48447205,161,157
7,EBUS_06,tumor,TAM,13,161,8.074534161,161,148
8,EBUS_06,tumor,Profi_TAM,138,161,85.71428571,161,23
9,EBUS_06,tumor,Proli_TRM,4,161,2.48447205,161,157
10,EBUS_06,tumor,Unknown,2,161,1.242236025,161,159
11,EBUS_28,tumor,TRAM,9,72,12.5,72,63
12,EBUS_28,tumor,TAM,28,72,38.88888889,72,44
13,EBUS_28,tumor,Profi_TAM,14,72,19.44444444,72,58
14,EBUS_28,tumor,Proli_TRM,20,72,27.77777778,72,52
15,EBUS_28,tumor,Unknown,1,72,1.388888889,72,71
16,EBUS_49,tumor,TRAM,22,50,44,50,28
17,EBUS_49,tumor,TAM,16,50,32,50,34
18,EBUS_49,tumor,Profi_TAM,11,50,22,50,39
19,EBUS_49,tumor,Proli_TRM,1,50,2,50,49
20,LUNG_N01,normal,TRAM,521,720,72.36111111,720,199
21,LUNG_N01,normal,TAM,94,720,13.05555556,720,626
22,LUNG_N01,normal,Profi_TAM,53,720,7.361111111,720,667
23,LUNG_N01,normal,Proli_TRM,26,720,3.611111111,720,694
24,LUNG_N01,normal,Unknown,26,720,3.611111111,720,694
25,LUNG_N06,normal,TRAM,1005,1168,86.04452055,1168,163
26,LUNG_N06,normal,TAM,66,1168,5.650684932,1168,1102
27,LUNG_N06,normal,Profi_TAM,28,1168,2.397260274,1168,1140
28,LUNG_N06,normal,Proli_TRM,53,1168,4.537671233,1168,1115
29,LUNG_N06,normal,Unknown,16,1168,1.369863014,1168,1152
30,LUNG_N08,normal,TRAM,952,1142,83.36252189,1142,190
31,LUNG_N08,normal,TAM,90,1142,7.880910683,1142,1052
32,LUNG_N08,normal,Profi_TAM,22,1142,1.926444834,1142,1120
33,LUNG_N08,normal,Proli_TRM,48,1142,4.203152364,1142,1094
34,LUNG_N08,normal,Unknown,30,1142,2.626970228,1142,1112
35,LUNG_N09,normal,TRAM,838,1035,80.96618357,1035,197
36,LUNG_N09,normal,TAM,61,1035,5.893719807,1035,974
37,LUNG_N09,normal,Profi_TAM,78,1035,7.536231884,1035,957
38,LUNG_N09,normal,Proli_TRM,45,1035,4.347826087,1035,990
39,LUNG_N09,normal,Unknown,13,1035,1.256038647,1035,1022
40,LUNG_N18,normal,TRAM,1069,1625,65.78461538,1625,556
41,LUNG_N18,normal,TAM,378,1625,23.26153846,1625,1247
42,LUNG_N18,normal,Profi_TAM,105,1625,6.461538462,1625,1520
43,LUNG_N18,normal,Proli_TRM,32,1625,1.969230769,1625,1593
44,LUNG_N18,normal,Unknown,41,1625,2.523076923,1625,1584
45,LUNG_N19,normal,TRAM,598,841,71.1058264,841,243
46,LUNG_N19,normal,TAM,147,841,17.47919144,841,694
47,LUNG_N19,normal,Profi_TAM,52,841,6.183115339,841,789
48,LUNG_N19,normal,Proli_TRM,17,841,2.021403092,841,824
49,LUNG_N19,normal,Unknown,27,841,3.210463734,841,814
50,LUNG_N20,normal,TRAM,2237,3260,68.6196319,3260,1023
51,LUNG_N20,normal,TAM,793,3260,24.32515337,3260,2467
52,LUNG_N20,normal,Profi_TAM,33,3260,1.012269939,3260,3227
53,LUNG_N20,normal,Proli_TRM,96,3260,2.944785276,3260,3164
54,LUNG_N20,normal,Unknown,101,3260,3.098159509,3260,3159
55,LUNG_N28,normal,TRAM,645,727,88.72077029,727,82
56,LUNG_N28,normal,TAM,43,727,5.914718019,727,684
57,LUNG_N28,normal,Profi_TAM,5,727,0.687757909,727,722
58,LUNG_N28,normal,Proli_TRM,19,727,2.613480055,727,708
59,LUNG_N28,normal,Unknown,15,727,2.063273728,727,712
60,LUNG_N30,normal,TRAM,291,483,60.2484472,483,192
61,LUNG_N30,normal,TAM,62,483,12.83643892,483,421
62,LUNG_N30,normal,Profi_TAM,102,483,21.11801242,483,381
63,LUNG_N30,normal,Proli_TRM,11,483,2.277432712,483,472
64,LUNG_N30,normal,Unknown,17,483,3.519668737,483,466
65,LUNG_N31,normal,TRAM,535,968,55.26859504,968,433
66,LUNG_N31,normal,TAM,192,968,19.83471074,968,776
67,LUNG_N31,normal,Profi_TAM,186,968,19.21487603,968,782
68,LUNG_N31,normal,Proli_TRM,35,968,3.615702479,968,933
69,LUNG_N31,normal,Unknown,20,968,2.066115702,968,948
70,LUNG_N34,normal,TRAM,936,1261,74.22680412,1261,325
71,LUNG_N34,normal,TAM,105,1261,8.326724822,1261,1156
72,LUNG_N34,normal,Profi_TAM,117,1261,9.278350515,1261,1144
73,LUNG_N34,normal,Proli_TRM,63,1261,4.996034893,1261,1198
74,LUNG_N34,normal,Unknown,40,1261,3.172085646,1261,1221
75,LUNG_T06,tumor,TRAM,25,399,6.26566416,399,374
76,LUNG_T06,tumor,TAM,96,399,24.06015038,399,303
77,LUNG_T06,tumor,Profi_TAM,176,399,44.11027569,399,223
78,LUNG_T06,tumor,Proli_TRM,31,399,7.769423559,399,368
79,LUNG_T06,tumor,Unknown,71,399,17.79448622,399,328
80,LUNG_T08,tumor,TRAM,9,183,4.918032787,183,174
81,LUNG_T08,tumor,TAM,18,183,9.836065574,183,165
82,LUNG_T08,tumor,Profi_TAM,124,183,67.75956284,183,59
83,LUNG_T08,tumor,Proli_TRM,9,183,4.918032787,183,174
84,LUNG_T08,tumor,Unknown,23,183,12.56830601,183,160
85,LUNG_T09,tumor,TRAM,78,1238,6.300484653,1238,1160
86,LUNG_T09,tumor,TAM,103,1238,8.319870759,1238,1135
87,LUNG_T09,tumor,Profi_TAM,992,1238,80.12924071,1238,246
88,LUNG_T09,tumor,Proli_TRM,14,1238,1.13085622,1238,1224
89,LUNG_T09,tumor,Unknown,51,1238,4.119547658,1238,1187
90,LUNG_T18,tumor,TRAM,92,880,10.45454545,880,788
91,LUNG_T18,tumor,TAM,640,880,72.72727273,880,240
92,LUNG_T18,tumor,Profi_TAM,72,880,8.181818182,880,808
93,LUNG_T18,tumor,Proli_TRM,48,880,5.454545455,880,832
94,LUNG_T18,tumor,Unknown,28,880,3.181818182,880,852
95,LUNG_T19,tumor,TRAM,359,792,45.32828283,792,433
96,LUNG_T19,tumor,TAM,123,792,15.53030303,792,669
97,LUNG_T19,tumor,Profi_TAM,245,792,30.93434343,792,547
98,LUNG_T19,tumor,Proli_TRM,47,792,5.934343434,792,745
99,LUNG_T19,tumor,Unknown,18,792,2.272727273,792,774
100,LUNG_T20,tumor,TRAM,98,740,13.24324324,740,642
101,LUNG_T20,tumor,TAM,542,740,73.24324324,740,198
102,LUNG_T20,tumor,Profi_TAM,40,740,5.405405405,740,700
103,LUNG_T20,tumor,Proli_TRM,37,740,5,740,703
104,LUNG_T20,tumor,Unknown,23,740,3.108108108,740,717
105,LUNG_T25,tumor,TRAM,82,397,20.65491184,397,315
106,LUNG_T25,tumor,TAM,248,397,62.46851385,397,149
107,LUNG_T25,tumor,Profi_TAM,38,397,9.571788413,397,359
108,LUNG_T25,tumor,Proli_TRM,19,397,4.785894207,397,378
109,LUNG_T25,tumor,Unknown,10,397,2.518891688,397,387
110,LUNG_T28,tumor,TRAM,160,864,18.51851852,864,704
111,LUNG_T28,tumor,TAM,449,864,51.96759259,864,415
112,LUNG_T28,tumor,Profi_TAM,194,864,22.4537037,864,670
113,LUNG_T28,tumor,Proli_TRM,29,864,3.356481481,864,835
114,LUNG_T28,tumor,Unknown,32,864,3.703703704,864,832
115,LUNG_T30,tumor,TRAM,486,715,67.97202797,715,229
116,LUNG_T30,tumor,TAM,127,715,17.76223776,715,588
117,LUNG_T30,tumor,Profi_TAM,35,715,4.895104895,715,680
118,LUNG_T30,tumor,Proli_TRM,46,715,6.433566434,715,669
119,LUNG_T30,tumor,Unknown,21,715,2.937062937,715,694
120,LUNG_T31,tumor,TRAM,83,285,29.12280702,285,202
121,LUNG_T31,tumor,TAM,43,285,15.0877193,285,242
122,LUNG_T31,tumor,Profi_TAM,129,285,45.26315789,285,156
123,LUNG_T31,tumor,Proli_TRM,10,285,3.50877193,285,275
124,LUNG_T31,tumor,Unknown,20,285,7.01754386,285,265
125,LUNG_T34,tumor,TRAM,83,237,35.02109705,237,154
126,LUNG_T34,tumor,TAM,87,237,36.70886076,237,150
127,LUNG_T34,tumor,Profi_TAM,53,237,22.3628692,237,184
128,LUNG_T34,tumor,Proli_TRM,11,237,4.641350211,237,226
129,LUNG_T34,tumor,Unknown,3,237,1.265822785,237,234
